# case	disease	pipeline_name	pipeline_version	timestamp	C3Y	DCC_path	filesize	file_format	md5sum	sample_name	sample_uuid
C3L-02168	LSCC	WXS_Germline	v1.1	20200425	Y3	/CPTAC3.Y3_WashU/LSCC/CPTAC3_LSCC_WXS_Germline_v1.1_LSCC.germline.GW_20200425/C3L-02168.maf.gz	23909827	MAF	ddbae49d056c15c3f9efd7e57543c97a	C3L-02168.WXS.N.hg38	c47e4f68-1b43-479c-af27-f585fb5347f3
C3L-02168	LSCC	WXS_Germline	v1.1	20200425	Y3	/CPTAC3.Y3_WashU/LSCC/CPTAC3_LSCC_WXS_Germline_v1.1_LSCC.germline.GW_20200425/C3L-02168.singleCaller.fixedHeader.vcf.gz	14471093	VCF	f7ea50990c9fc1fd2c402a9087b06f47	C3L-02168.WXS.N.hg38	c47e4f68-1b43-479c-af27-f585fb5347f3
C3L-02170	LSCC	WXS_Germline	v1.1	20200425	Y3	/CPTAC3.Y3_WashU/LSCC/CPTAC3_LSCC_WXS_Germline_v1.1_LSCC.germline.GW_20200425/C3L-02170.maf.gz	26355636	MAF	87c7ce8f0d9943ba2dd1dc1cd3bc353b	C3L-02170.WXS.N.hg38	bbf1978b-1db4-4656-a991-70479d05d1f6
C3L-02170	LSCC	WXS_Germline	v1.1	20200425	Y3	/CPTAC3.Y3_WashU/LSCC/CPTAC3_LSCC_WXS_Germline_v1.1_LSCC.germline.GW_20200425/C3L-02170.singleCaller.fixedHeader.vcf.gz	15231324	VCF	69856bb9cba7d73b470450cd749aa4ee	C3L-02170.WXS.N.hg38	bbf1978b-1db4-4656-a991-70479d05d1f6
C3L-02349	LSCC	WXS_Germline	v1.1	20200425	Y3	/CPTAC3.Y3_WashU/LSCC/CPTAC3_LSCC_WXS_Germline_v1.1_LSCC.germline.GW_20200425/C3L-02349.maf.gz	24182871	MAF	c8d6b82082fb21010b3335fbf26b0dd8	C3L-02349.WXS.N.hg38	c624be4d-286d-4776-b77e-d249fbe7b17e
C3L-02349	LSCC	WXS_Germline	v1.1	20200425	Y3	/CPTAC3.Y3_WashU/LSCC/CPTAC3_LSCC_WXS_Germline_v1.1_LSCC.germline.GW_20200425/C3L-02349.singleCaller.fixedHeader.vcf.gz	15991395	VCF	55365f950a7209b69e8382326ad33eff	C3L-02349.WXS.N.hg38	c624be4d-286d-4776-b77e-d249fbe7b17e
C3L-02358	LSCC	WXS_Germline	v1.1	20200425	Y3	/CPTAC3.Y3_WashU/LSCC/CPTAC3_LSCC_WXS_Germline_v1.1_LSCC.germline.GW_20200425/C3L-02358.maf.gz	20351678	MAF	6f37c9584d3f9cee46a04c2eabe594d6	C3L-02358.WXS.N.hg38	55b76b44-854d-417f-a02f-eb7f21e51974
C3L-02358	LSCC	WXS_Germline	v1.1	20200425	Y3	/CPTAC3.Y3_WashU/LSCC/CPTAC3_LSCC_WXS_Germline_v1.1_LSCC.germline.GW_20200425/C3L-02358.singleCaller.fixedHeader.vcf.gz	13011744	VCF	b4fa9c555688cdaff17ea987714fa716	C3L-02358.WXS.N.hg38	55b76b44-854d-417f-a02f-eb7f21e51974
C3L-02546	LSCC	WXS_Germline	v1.1	20200425	Y3	/CPTAC3.Y3_WashU/LSCC/CPTAC3_LSCC_WXS_Germline_v1.1_LSCC.germline.GW_20200425/C3L-02546.maf.gz	18153176	MAF	b9ae4d0913f54554f568ffb8ff426702	C3L-02546.WXS.N.hg38	0719d8d5-91a8-45b2-8bd3-6417ae7b6797
C3L-02546	LSCC	WXS_Germline	v1.1	20200425	Y3	/CPTAC3.Y3_WashU/LSCC/CPTAC3_LSCC_WXS_Germline_v1.1_LSCC.germline.GW_20200425/C3L-02546.singleCaller.fixedHeader.vcf.gz	12513308	VCF	d1e20b7eeb3eb65c0843d4a52b45861d	C3L-02546.WXS.N.hg38	0719d8d5-91a8-45b2-8bd3-6417ae7b6797
C3L-02552	LSCC	WXS_Germline	v1.1	20200425	Y3	/CPTAC3.Y3_WashU/LSCC/CPTAC3_LSCC_WXS_Germline_v1.1_LSCC.germline.GW_20200425/C3L-02552.maf.gz	19033574	MAF	8e59385a168965df1426a5a7ee954e27	C3L-02552.WXS.N.hg38	cea1e94c-03a7-498c-ba3b-86b4eba52707
C3L-02552	LSCC	WXS_Germline	v1.1	20200425	Y3	/CPTAC3.Y3_WashU/LSCC/CPTAC3_LSCC_WXS_Germline_v1.1_LSCC.germline.GW_20200425/C3L-02552.singleCaller.fixedHeader.vcf.gz	13542098	VCF	497d3e00b04357e0627369bfa235e35f	C3L-02552.WXS.N.hg38	cea1e94c-03a7-498c-ba3b-86b4eba52707
C3L-02619	LSCC	WXS_Germline	v1.1	20200425	Y3	/CPTAC3.Y3_WashU/LSCC/CPTAC3_LSCC_WXS_Germline_v1.1_LSCC.germline.GW_20200425/C3L-02619.maf.gz	22571382	MAF	30f40631806354d275a6add6a3b6e8bc	C3L-02619.WXS.N.hg38	34a67dfe-a2d6-474f-a7e9-3c29d9dae9f8
